time	V(compout)
2.073789209763429e-06	1.417126e-01
2.076646352620573e-06	1.417126e-01
2.079503495477715e-06	1.417126e-01
2.082360638334859e-06	1.417126e-01
2.085217781192002e-06	1.417126e-01
2.088074924049145e-06	1.417126e-01
2.090932066906288e-06	1.417126e-01
2.094074924049145e-06	1.417126e-01
2.097217781192002e-06	1.417126e-01
2.100360638334860e-06	1.417126e-01
2.103503495477717e-06	1.417126e-01
2.106646352620575e-06	1.417126e-01
2.109789209763432e-06	1.417126e-01
2.112932066906289e-06	1.417126e-01
2.116074924049147e-06	1.417126e-01
2.119217781192004e-06	1.417126e-01
2.122360638334862e-06	1.417126e-01
2.125503495477719e-06	1.417126e-01
2.128646352620576e-06	1.417126e-01
2.131789209763434e-06	1.417126e-01
2.134932066906291e-06	1.417126e-01
2.138360638334863e-06	1.417126e-01
2.141789209763434e-06	1.417126e-01
2.145217781192006e-06	1.417126e-01
2.148646352620578e-06	1.417126e-01
2.152074924049150e-06	1.417126e-01
2.155503495477721e-06	1.417126e-01
2.158932066906293e-06	1.417126e-01
2.163789209763436e-06	1.417126e-01
2.168646352620579e-06	1.417126e-01
2.173503495477722e-06	1.417126e-01
2.178360638334866e-06	1.417126e-01
2.183217781192009e-06	1.417126e-01
2.188074924049152e-06	1.417126e-01
2.192932066906295e-06	1.417126e-01
2.196646352620582e-06	1.417126e-01
2.200360638334868e-06	1.417126e-01
2.204074924049154e-06	1.417126e-01
2.207789209763439e-06	1.417126e-01
2.211503495477725e-06	1.417126e-01
2.215217781192011e-06	1.417126e-01
2.218932066906297e-06	1.417126e-01
2.223360638334869e-06	1.417126e-01
2.227789209763441e-06	1.417126e-01
2.232217781192013e-06	1.417126e-01
2.236646352620585e-06	1.417126e-01
2.241074924049156e-06	1.417126e-01
2.245503495477728e-06	1.417126e-01
2.249932066906300e-06	1.417126e-01
2.257789209763443e-06	1.417126e-01
2.265646352620587e-06	1.417126e-01
2.273503495477730e-06	1.417126e-01
2.281360638334874e-06	1.417126e-01
2.289217781192017e-06	1.417126e-01
2.297074924049161e-06	1.417126e-01
2.304932066906304e-06	1.417126e-01
2.312646352620590e-06	1.417126e-01
2.320360638334877e-06	1.417126e-01
2.328074924049163e-06	1.417126e-01
2.335789209763449e-06	1.417126e-01
2.343503495477735e-06	1.417126e-01
2.351217781192022e-06	1.417126e-01
2.358932066906308e-06	1.417126e-01
2.370646352620595e-06	1.417126e-01
2.382360638334881e-06	1.417126e-01
2.394074924049168e-06	1.417126e-01
2.405789209763454e-06	1.417126e-01
2.417503495477741e-06	1.417126e-01
